Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Finance.historical effect of energy supply demand balance on investment growth[1],1.05339979709,1.07859561202,1.08528780238,1.07864437866,1.06916489307,1.05600158499,1.04158835771,1.02726954129,1.01264807108,0.99731465479,0.981206661896,0.966041151152,0.954546111749,0.947568610099,0.938528307448,0.930106082462,0.925736701958,0.925306721055,0.92811659102,0.931822150299,0.934662007707,0.939218051033,0.946766809044,0.955843968174,0.965035329109,0.973359881337,0.980792674388,0.98788578766,0.995280527645,1.00358352095,1.0133332986,1.0226959241,1.03020448276,1.03598755526,1.04001375031,1.04212990067,1.04232065241,1.0403081054,1.03594662226,1.02910096536,1.01897581544,0.96607714967,0.972204341697,0.990981291466,0.99880801734,1.00181016619,1.00301341567,1.00247166729,1.00246700348,1.00220331759,1.00203131692,0.998653018835,0.996490604686,0.996113644562,0.996223662759,0.996483774682,0.997219331944,0.997416257062,0.997849078346,0.998356635157,0.999155139873,1.0011583568,1.00068903132,1.00238467132,1.00406131048,1.00403406561,1.00418396401,1.00179064614,1.00149081872,1.00265254,1.00350062604,1.0034685843,1.00156433153,1.00048601612,1.0005814192,1.0009233256,1.00115604955,1.00083032863,0.999934020707,0.999432908395,0.999179964499,0.999564913007,1.00023249586,0.999893263869,0.999568162197,0.999357505323,0.999407996889,0.999595731445,0.999010602698,0.99946037822,1.00059145087,1.00086782823,1.00042526489,0.999432488238,0.999468370627,1.00054954191,1.00161814951,1.00204657954,1.00117632198,0.999895732484,0.99909107579,0.999511172246,1.00083637708,1.00131826958,1.00062205149,0.999799787129,0.999323917028,0.999608228473,1.00019625744,1.00027838613,1.00039275277,0.999929202944,0.998985793821,0.998254563803,0.997444906337,0.997160164009,0.997760571908,0.998661395876,0.999111985087,0.998748493276,0.998297928558
Finance.historical effect of share of GDP invested in energy vs expectation on investment growth[1],1,1.00438223108,1.08298022606,1.19709511074,1.29380744467,1.36849877833,1.42520001321,1.4680278692,1.50079428486,1.52727106309,1.54989804909,1.50001735309,1.45607214818,1.41517782312,1.37351629874,1.32788200692,1.27684166018,1.21595143667,1.1496413923,1.09538059652,1.06137567627,1.01603526918,0.990791877973,0.984520975516,0.996257164578,1.02088263161,1.05099021648,1.07864154859,1.09887248631,1.10911288926,1.10875826583,1.17904782023,1.22636136004,1.25838302005,1.28114072671,1.29935202813,1.31534163086,1.33165186225,1.3498507308,1.37033342182,2.77394514553,1.87214924712,0.247193603257,0.806624575687,1.05246043078,1.15328947179,1.21544648918,1.1902001437,1.19990489096,1.20024008152,1.2085060733,1.31626822544,1.30943957802,1.32918972885,1.35153573805,1.37789431232,1.39251415374,1.36759488835,1.34532168813,1.33328098613,1.26885120795,1.34938244118,1.28522841398,1.2406468031,1.27034059891,1.28645201563,1.30699589914,1.25193663025,1.20575177856,1.2494175311,1.30936903455,1.39889058946,1.39387024885,1.35765868579,1.35852921088,1.37403870048,1.38538823088,1.38376903391,1.3417128097,1.29638533622,1.26181542709,1.19674621993,1.18334261819,1.14336910788,1.09791501745,1.06837386837,1.04683397112,1.06585874381,1.05319865198,1.06765507952,1.12784620612,1.2325900887,1.2929900638,1.30760454977,1.32297448603,1.36679063573,1.41769454048,1.45724177608,1.45557920032,1.41578369159,1.37348188385,1.2864187347,1.26256615074,1.25452503762,1.21777934082,1.16971783256,1.13601301237,1.12710508915,1.15117820751,1.16650657831,1.17625484006,1.2418491019,1.25979845898,1.27144227794,1.26718542752,1.2619744245,1.27530744156,1.30472346423,1.33163360467,1.32358537575,1.30217971115
Emissions.historical CH4 emissions from Energy[1],105.649097688,108.191342749,110.409981335,112.324836788,113.954288748,115.31541371,116.42410853,117.295199409,117.942538447,118.379089477,118.617004632,118.887381658,119.404016588,120.153217492,121.122169811,122.298905307,123.672269083,125.231885184,126.968121222,128.872052411,130.935425359,133.117335314,135.379807123,137.71968125,140.134071691,142.620345826,145.176105021,147.799165948,150.487542564,153.239428691,156.053181151,158.627910189,160.681743742,162.240268805,163.327377944,163.965473689,164.175646379,163.977829299,163.390934281,162.432970388,160.977855379,152.982662264,152.822116558,153.732904659,152.787024042,150.93930115,148.607390858,146.017253501,143.406390634,140.721516207,138.017212539,135.031875845,132.202278336,129.390366617,126.346341104,122.97006556,119.194962932,114.963546682,110.273098268,105.096709181,99.5696259983,94.2526214122,89.2957886868,84.9341337651,81.1145501278,77.7642790319,74.8546221518,72.3571891135,70.3706767321,68.7947670781,67.5023048599,66.2378896645,64.8700285737,63.5464747388,62.2407433521,60.894485102,59.4927705938,58.0382417657,56.5677837837,55.1134515152,53.6639480237,52.2449241153,50.8514780528,49.470940517,48.1337174348,46.8398486546,45.5879000982,44.3626232373,43.1646440838,42.0131123935,40.8750193877,39.689986612,38.443720393,37.1594752227,35.8506428564,34.4993725303,33.0911319326,31.629433171,30.1278690408,28.6015088895,27.05373744,25.5641933504,24.2067599023,22.968811052,21.8433235282,20.8289117258,19.9225177587,19.1188211039,18.4062283816,17.7754454759,17.2239502285,16.6882297627,16.1193191149,15.5236113254,14.9016154543,14.2535978911,13.5759685663,12.865539397,12.1234512927,11.3798022412,10.6785192268
Emissions.historical CO2 emissions from Energy[1],17731.7333247,18272.9303366,18765.2482006,19211.0924347,19612.6929423,19972.1217348,20291.3084708,20572.0541445,20816.0431922,21024.8542427,21199.9696957,21382.2960598,21610.6485764,21883.3879057,22198.9833225,22556.0111803,22953.1528854,23389.1924567,23863.0137387,24373.5973292,24920.0172774,25495.0624458,26091.8963356,26710.2560371,27349.9207317,28010.7092166,28692.4774579,29395.1161683,30118.5484011,30862.7271535,31627.6329698,32352.2102025,32977.7618851,33507.6204795,33944.8746602,34292.4027977,34552.9022825,34728.9152942,34822.8515065,34837.0081315,34742.6618765,33225.3416748,33399.7903258,33810.7381181,33814.6253262,33616.3635275,33305.7405604,32931.6241172,32546.7605268,32138.8296605,31719.9937312,31229.6006408,30768.006474,30303.4901731,29777.1868308,29164.2417561,28447.1967716,27610.3566321,26650.890715,25560.0416943,24368.5453403,23212.7426201,22130.65584,21182.4337903,20357.4158616,19639.6762051,19024.0546472,18505.3131403,18110.7638398,17816.8421939,17592.3647031,17371.7029276,17120.257189,16876.716192,16634.1856374,16377.0254712,16100.95163,15806.3606467,15503.0480344,15199.7283776,14893.3064693,14590.927436,14291.3305537,13991.0252258,13698.6908779,13414.5291461,13138.3197446,12865.8281666,12597.343771,12338.6021675,12080.0676425,11803.8215636,11505.285024,11191.0756912,10864.994166,10521.4121885,10155.5804439,9768.20635028,9363.15299963,8944.84746925,8514.15502857,8096.11494217,7714.56643096,7366.20268489,7049.43250153,6764.44712587,6510.88820732,6287.63632418,6091.4600454,5919.80465608,5772.31380694,5628.0471942,5470.46749782,5301.52481151,5121.19931327,4929.38930168,4724.6509395,4505.64729826,4272.53622848,4035.75214025,3810.93107035
Emissions.historical N2O emissions from energy[1],912.810655113,921.386179135,926.812309449,929.380438065,929.357225233,926.986992971,922.493838674,916.083508553,907.945063835,898.252367258,887.165413005,876.451090409,867.651123491,860.589169822,855.102916636,851.04316721,848.272958579,846.666713563,846.109429301,846.495903804,847.730001406,849.511533306,851.574854416,853.884678334,856.409008541,859.118844622,861.987909993,864.992399679,868.110746763,871.323406132,874.612654282,876.308465591,874.939884838,870.77230899,864.050680582,855.001563155,843.834951071,830.745852712,815.91567935,799.513466648,781.00175219,731.58090171,720.345138296,714.258678762,699.696077249,681.333238304,661.198598829,640.368506089,619.909895187,599.590638223,579.644692388,558.983754693,539.431246647,520.395313943,500.873872041,480.506632262,459.084001965,436.444156885,412.641003431,387.637867385,361.991379247,337.752882515,315.406673261,295.703480409,278.360246419,263.040652027,249.571861894,237.789655615,227.94878,219.652030993,212.438240028,205.473043692,198.347499623,191.517462029,184.895337568,178.304960549,171.705391351,165.108053888,158.619818824,152.328150511,146.197334195,140.292744131,134.595010953,129.065397282,123.777963699,118.725412395,113.896942434,109.248119606,104.775366846,100.519462067,96.3956742941,92.2602868194,88.0832908829,83.921254682,79.805646072,75.6976052504,71.5676639222,67.4265441905,63.3056075782,59.2375360034,55.2293059172,51.4409146721,48.0117488074,44.9038575864,42.0918611446,39.5621845241,37.298569992,35.2811995371,33.4796811595,31.8692082843,30.4381194454,29.068967051,27.6758071916,26.2712439838,24.8573886879,23.4358617896,22.0019677222,20.5519470603,19.0891029233,17.6615264711,16.3357406428
Emissions.historical SO2 emissions from energy[1],131.893051138,132.769212517,133.187034987,133.192004887,132.825598209,132.125673129,131.126816752,129.860652534,128.356113726,126.639687324,124.735632308,122.893266569,121.327711964,120.012151664,118.922000212,118.034748326,117.329814349,116.788402626,116.393369028,116.129093692,115.981360985,115.908263256,115.873044973,115.870607329,115.896350644,115.946128278,116.016204148,116.103213584,116.204127269,116.316218052,116.437030397,116.344763988,115.84639458,114.980287135,113.781712865,112.283161181,110.514612092,108.503774848,106.276297623,103.855952281,101.174738115,94.5141671734,92.8089060091,91.7738649215,89.6576613513,87.0666861721,84.2633721499,81.3863079,78.5713875505,75.7888241263,73.0679059088,70.2713756525,67.6285132662,65.064124375,62.4526773572,59.7498118566,56.9303411316,53.9752649061,50.8924022909,47.6783522488,44.402532617,41.3164548368,38.4777204457,35.9757092858,33.7733867183,31.827662536,30.1156307054,28.615660424,27.3566276569,26.2890554348,25.3563609502,24.4581473133,23.5456077091,22.6728452296,21.8292129269,20.9937496796,20.1615999093,19.3340924378,18.5236878265,17.7404505242,16.9800279524,16.2498227816,15.5473670839,14.8679874127,14.2200187023,13.6023827889,13.0136116595,12.4484196204,11.9062202061,11.3914589098,10.8943471352,10.3985536273,9.90070542357,9.4071711845,8.92144429836,8.43913943672,7.95696293808,7.47611316872,7.00005767745,6.53237178712,6.0737647368,5.64172007911,5.25127605082,4.8979624046,4.57872326816,4.29181509582,4.03522162144,3.80656302279,3.60234635917,3.41971489489,3.25724865963,3.10225267973,2.94552244722,2.78841332766,2.63115532793,2.47392416942,2.31622876233,2.15768166564,1.99863914851,1.844130194,1.70104829252
Emissions.historical total energy output[1],27840.0038908,28754.2728833,29602.5685238,30390.1264511,31121.2501523,31799.4388823,32427.4961839,33007.64308,33541.5980154,34030.6652211,34475.8074711,34922.0889835,35413.5574803,35949.2922623,36528.2514696,37149.3113195,37811.2788816,38513.109109,39254.3169449,40033.9626094,40851.3757947,41803.8558077,42970.7245815,44312.2850968,45785.5601331,47347.7547308,48964.4635258,50612.5645398,52279.6204527,53961.4085362,55660.6265251,57266.7286266,58685.107303,59937.8891741,61041.6588944,62009.6496896,62852.8917159,63581.2760888,64200.4853444,64704.4902549,65045.0206763,62551.3993148,64021.0826283,66397.6336673,68055.3224152,69397.0549071,70636.4637317,71786.1800211,73027.9485003,74312.6790923,75660.0644326,76789.717223,78000.9308486,79306.0403611,80558.6761651,81699.5929364,82738.9805336,83597.6074666,84368.3064495,85058.3046404,85730.0584802,86505.7746822,87082.1758136,87917.560605,88845.199695,89757.5630021,90861.2022137,91861.0193668,93131.0712995,94571.3209697,95976.6124995,97269.2496211,98327.9640375,99407.3998249,100533.900065,101607.047207,102582.214481,103403.489596,104068.930909,104695.643788,105285.901415,105908.009802,106542.968146,107065.710145,107624.35443,108261.569956,109027.333895,109943.646519,110913.303155,112118.800282,113485.424346,114789.697257,115997.625143,117078.31922,118180.637566,119269.917855,120205.256385,120905.263437,121297.115004,121530.266095,121768.276808,122156.812225,122694.765138,123184.84434,123610.173071,124132.625277,124823.140228,125710.92974,126702.150363,127655.934738,128615.87024,129480.052366,130245.593547,130994.95147,131675.09325,132358.138765,133086.076867,133771.696434,134308.611262,134655.200088,134927.237396
Energy Demand.historical demand for energy[1],26373.9477532,26601.2233676,27233.1456311,28159.6631485,29127.286369,30173.059117,31237.2767284,32281.5843891,33318.5874876,34364.6225401,35426.0594878,36486.2810007,37476.839605,38346.1936707,39361.2466774,40411.2152462,41335.3520857,42124.8600359,42802.725268,43487.2370886,44242.8711034,45052.498334,45931.3108774,46904.1167061,47992.5232263,49200.8546465,50495.7856127,51826.0414988,53142.6326776,54407.1469609,55589.6125725,56683.5979202,57685.020717,58614.5141219,59495.20667,60352.7167508,61200.5859489,62071.0195822,62982.4021272,63944.4270997,64948.251158,66001.9618003,67096.9631189,68204.9727807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damages.historical surface temperature anomaly[1],0.372539733,0.432274529144,0.461861587737,0.451617204645,0.413137145731,0.426521941838,0.459092484398,0.486779683178,0.515770023693,0.548724835045,0.582961265593,0.600147586345,0.552146499233,0.438775741289,0.447370936059,0.525339567326,0.59473036786,0.645494550129,0.685605627511,0.721635927251,0.754462606156,0.783903618897,0.808306032197,0.83030503766,0.844793800738,0.85842511131,0.87023846939,0.882661713155,0.897346251242,0.914983127662,0.933180451085,0.95744288357,0.983023142385,1.01177234672,1.04108216007,1.06742266138,1.0895132176,1.11292656114,1.13765392664,1.1631380999,1.1890457921,1.21489714088,1.24145972277,1.26956970785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
